canton,year,total
Jura,2001,354
Jura,2002,348
Jura,2003,317
Jura,2004,357
Jura,2005,324
Jura,2006,314
Jura,2007,351
Jura,2008,341
Jura,2009,330
Jura,2010,302
Jura,2011,301
Jura,2012,304
Jura,2013,281
Jura,2014,297
Jura,2015,288
Jura,2016,277
Jura,2017,294
Jura,2018,292
Jura,2019,271
Jura,2020,248
Jura,2021,243
Jura,2022,254
