canton,year,total
Fribourg,2001,1380
Fribourg,2002,1363
Fribourg,2003,1511
Fribourg,2004,1327
Fribourg,2005,1384
Fribourg,2006,1320
Fribourg,2007,1324
Fribourg,2008,1343
Fribourg,2009,1373
Fribourg,2010,1383
Fribourg,2011,1363
Fribourg,2012,1396
Fribourg,2013,1322
Fribourg,2014,1390
Fribourg,2015,1323
Fribourg,2016,1362
Fribourg,2017,1275
Fribourg,2018,1389
Fribourg,2019,1341
Fribourg,2020,1154
Fribourg,2021,1298
Fribourg,2022,1414
