canton,year,total
Genève,2001,2645
Genève,2002,2493
Genève,2003,2571
Genève,2004,2494
Genève,2005,2566
Genève,2006,2669
Genève,2007,2639
Genève,2008,2597
Genève,2009,2538
Genève,2010,2682
Genève,2011,2239
Genève,2012,2451
Genève,2013,2295
Genève,2014,2337
Genève,2015,2297
Genève,2016,2348
Genève,2017,2211
Genève,2018,2368
Genève,2019,2150
Genève,2020,1711
Genève,2021,2087
Genève,2022,2339
