canton,year,total
Thurgovie,2001,1074
Thurgovie,2002,1102
Thurgovie,2003,1072
Thurgovie,2004,1067
Thurgovie,2005,1123
Thurgovie,2006,1198
Thurgovie,2007,1118
Thurgovie,2008,1174
Thurgovie,2009,1153
Thurgovie,2010,1274
Thurgovie,2011,1234
Thurgovie,2012,1345
Thurgovie,2013,1263
Thurgovie,2014,1368
Thurgovie,2015,1415
Thurgovie,2016,1392
Thurgovie,2017,1400
Thurgovie,2018,1354
Thurgovie,2019,1360
Thurgovie,2020,1274
Thurgovie,2021,1303
Thurgovie,2022,1374
