canton,year,total
Saint-Gall,2001,2250
Saint-Gall,2002,2251
Saint-Gall,2003,2178
Saint-Gall,2004,2089
Saint-Gall,2005,2161
Saint-Gall,2006,2305
Saint-Gall,2007,2280
Saint-Gall,2008,2366
Saint-Gall,2009,2427
Saint-Gall,2010,2546
Saint-Gall,2011,2665
Saint-Gall,2012,2689
Saint-Gall,2013,2538
Saint-Gall,2014,2664
Saint-Gall,2015,2577
Saint-Gall,2016,2669
Saint-Gall,2017,2480
Saint-Gall,2018,2636
Saint-Gall,2019,2527
Saint-Gall,2020,2343
Saint-Gall,2021,2430
Saint-Gall,2022,2569
