canton,year,total
Bâle-Ville,2001,983
Bâle-Ville,2002,1044
Bâle-Ville,2003,1046
Bâle-Ville,2004,946
Bâle-Ville,2005,978
Bâle-Ville,2006,883
Bâle-Ville,2007,949
Bâle-Ville,2008,1021
Bâle-Ville,2009,995
Bâle-Ville,2010,1028
Bâle-Ville,2011,985
Bâle-Ville,2012,993
Bâle-Ville,2013,939
Bâle-Ville,2014,980
Bâle-Ville,2015,955
Bâle-Ville,2016,954
Bâle-Ville,2017,1034
Bâle-Ville,2018,1029
Bâle-Ville,2019,966
Bâle-Ville,2020,863
Bâle-Ville,2021,879
Bâle-Ville,2022,969
