canton,year,total
Schwyz,2001,744
Schwyz,2002,699
Schwyz,2003,835
Schwyz,2004,807
Schwyz,2005,849
Schwyz,2006,704
Schwyz,2007,738
Schwyz,2008,791
Schwyz,2009,815
Schwyz,2010,838
Schwyz,2011,811
Schwyz,2012,846
Schwyz,2013,787
Schwyz,2014,765
Schwyz,2015,848
Schwyz,2016,807
Schwyz,2017,795
Schwyz,2018,806
Schwyz,2019,737
Schwyz,2020,701
Schwyz,2021,738
Schwyz,2022,833
