canton,year,total
Bâle-Campagne,2001,1278
Bâle-Campagne,2002,1355
Bâle-Campagne,2003,1324
Bâle-Campagne,2004,1289
Bâle-Campagne,2005,1303
Bâle-Campagne,2006,1246
Bâle-Campagne,2007,1309
Bâle-Campagne,2008,1389
Bâle-Campagne,2009,1422
Bâle-Campagne,2010,1454
Bâle-Campagne,2011,1453
Bâle-Campagne,2012,1436
Bâle-Campagne,2013,1259
Bâle-Campagne,2014,1328
Bâle-Campagne,2015,1284
Bâle-Campagne,2016,1339
Bâle-Campagne,2017,1274
Bâle-Campagne,2018,1244
Bâle-Campagne,2019,1271
Bâle-Campagne,2020,1140
Bâle-Campagne,2021,1136
Bâle-Campagne,2022,1262
