canton,year,total
Grisons,2001,880
Grisons,2002,933
Grisons,2003,868
Grisons,2004,798
Grisons,2005,805
Grisons,2006,822
Grisons,2007,898
Grisons,2008,932
Grisons,2009,949
Grisons,2010,930
Grisons,2011,1018
Grisons,2012,944
Grisons,2013,860
Grisons,2014,908
Grisons,2015,928
Grisons,2016,926
Grisons,2017,896
Grisons,2018,854
Grisons,2019,855
Grisons,2020,872
Grisons,2021,785
Grisons,2022,902
