canton,year,total
Valais,2001,1306
Valais,2002,1374
Valais,2003,1369
Valais,2004,1411
Valais,2005,1515
Valais,2006,1445
Valais,2007,1489
Valais,2008,1436
Valais,2009,1672
Valais,2010,1656
Valais,2011,1620
Valais,2012,1593
Valais,2013,1506
Valais,2014,1560
Valais,2015,1496
Valais,2016,1466
Valais,2017,1404
Valais,2018,1492
Valais,2019,1464
Valais,2020,1256
Valais,2021,1310
Valais,2022,1544
