canton,year,total
Obwald,2001,160
Obwald,2002,152
Obwald,2003,130
Obwald,2004,178
Obwald,2005,155
Obwald,2006,168
Obwald,2007,178
Obwald,2008,171
Obwald,2009,196
Obwald,2010,196
Obwald,2011,174
Obwald,2012,191
Obwald,2013,164
Obwald,2014,176
Obwald,2015,171
Obwald,2016,154
Obwald,2017,173
Obwald,2018,186
Obwald,2019,189
Obwald,2020,163
Obwald,2021,139
Obwald,2022,141
