canton,year,total
Uri,2001,158
Uri,2002,154
Uri,2003,157
Uri,2004,159
Uri,2005,136
Uri,2006,155
Uri,2007,170
Uri,2008,195
Uri,2009,160
Uri,2010,162
Uri,2011,166
Uri,2012,167
Uri,2013,159
Uri,2014,168
Uri,2015,160
Uri,2016,166
Uri,2017,171
Uri,2018,170
Uri,2019,175
Uri,2020,170
Uri,2021,169
Uri,2022,175
