canton,year,total
Lucerne,2001,1568
Lucerne,2002,1663
Lucerne,2003,1760
Lucerne,2004,1750
Lucerne,2005,1777
Lucerne,2006,1826
Lucerne,2007,1885
Lucerne,2008,1906
Lucerne,2009,2015
Lucerne,2010,2081
Lucerne,2011,2010
Lucerne,2012,2059
Lucerne,2013,1955
Lucerne,2014,2070
Lucerne,2015,2119
Lucerne,2016,2119
Lucerne,2017,2023
Lucerne,2018,2008
Lucerne,2019,1975
Lucerne,2020,1866
Lucerne,2021,1853
Lucerne,2022,2079
