canton,year,total
Zurich,2001,8074
Zurich,2002,8454
Zurich,2003,8215
Zurich,2004,8135
Zurich,2005,8351
Zurich,2006,8136
Zurich,2007,8179
Zurich,2008,8352
Zurich,2009,8493
Zurich,2010,8781
Zurich,2011,8708
Zurich,2012,8734
Zurich,2013,7975
Zurich,2014,8470
Zurich,2015,8580
Zurich,2016,8493
Zurich,2017,8234
Zurich,2018,8277
Zurich,2019,7950
Zurich,2020,7212
Zurich,2021,7462
Zurich,2022,8285
